window_miles,n_windows,covered_miles,episodes_in_complete_windows,mean_count,variance_count,dispersion_index,window_count_cv,replicate,total_miles,enough_windows_for_reliable_dispersion
10000.0,10,100000.0,3615,361.5,3021.1666666666665,8.357307514983862,0.15204741484923162,5,100000.0,False
25000.0,4,100000.0,3615,903.75,9968.25,11.029875518672199,0.11047427252199421,5,100000.0,False
50000.0,2,100000.0,3615,1807.5,3444.5,1.90567081604426,0.032470186909257785,5,100000.0,False
100000.0,1,100000.0,3615,3615.0,,,,5,100000.0,False
1000.0,200,200000.0,7437,37.185,156.28218592964825,4.202828719366633,0.33619167327935934,5,200000.0,True
5000.0,40,200000.0,7437,185.925,859.250641025641,4.621490606565233,0.15766022508195765,5,200000.0,True
10000.0,20,200000.0,7437,371.85,2030.6605263157894,5.460966858453111,0.12118556096654924,5,200000.0,False
25000.0,8,200000.0,7437,929.625,5459.125,5.8723947828425445,0.07947924351440573,5,200000.0,False
50000.0,4,200000.0,7437,1859.25,5444.916666666667,2.9285554210927347,0.03968787338534457,5,200000.0,False
100000.0,2,200000.0,7437,3718.5,21424.5,5.761597418313836,0.039362943043059116,5,200000.0,False
1000.0,500,500000.0,19152,38.304,200.3202244488978,5.229746878887265,0.36950325656555977,5,500000.0,True
5000.0,100,500000.0,19152,191.52,1152.4541414141413,6.017408841970244,0.17725467299814002,5,500000.0,True
10000.0,50,500000.0,19152,383.04,1946.9371428571428,5.0828559493973025,0.11519452452739036,5,500000.0,True
25000.0,20,500000.0,19152,957.6,5906.252631578947,6.167765905993052,0.0802549580887103,5,500000.0,False
50000.0,10,500000.0,19152,1915.2,7023.288888888889,3.6671307899378074,0.043757865923374606,5,500000.0,False
100000.0,5,500000.0,19152,3830.4,23459.3,6.1245039682539675,0.03998650033350975,5,500000.0,False
1000.0,1000,1000000.0,37611,37.611,189.12680580580582,5.0284971366303965,0.3656467042655839,5,1000000.0,True
5000.0,200,1000000.0,37611,188.055,1070.2331407035176,5.691064532735197,0.173961968217438,5,1000000.0,True
10000.0,100,1000000.0,37611,376.11,1966.8261616161617,5.2293907676375575,0.11791474268668273,5,1000000.0,True
25000.0,40,1000000.0,37611,940.275,4910.101923076923,5.221984975753821,0.07452300597365533,5,1000000.0,True
50000.0,20,1000000.0,37611,1880.55,7778.260526315789,4.136162572819542,0.04689821980447413,5,1000000.0,False
100000.0,10,1000000.0,37611,3761.1,20877.21111111111,5.550825851775042,0.03841681540796927,5,1000000.0,False
1000.0,2000,2000000.0,75164,37.582,181.96926063031515,4.841925938755658,0.3589377424906608,5,2000000.0,True
